Species,lat,lon,Date,Observer(s),Area,Time,Indivs.,Comments
NOMO,36.53569444,-87.35083,3/22/2021,"HL,TY",NW,8:30,1,CALLING IN TREE
NOMO,36.53619444,-87.35806,3/22/2021,"HL,TY",NW,8:34,1,
EUST,36.53880556,-87.36083,3/22/2021,"HL,TY",NW,9:18,1,
HOSP,36.532531,-87.353772,3/22/2021,JM,SE,9:15,4,SCAVENGING PARKING LOT
EABL,36.532067,-87.354007,3/22/2021,JM,SE,9:35,1,PERCHED IN TREE
NOMO,36.53275,-87.35667,3/22/2021,"SZ, KH",SW,9:00,1,
NOMO,36.53275,-87.35667,3/22/2021,"SZ, KH",SW,9:05,1,
EUST,36.53275,-87.35667,3/22/2021,"SZ, KH",SW,9:10,3,
NOMO,36.53275,-87.35667,3/22/2021,"SZ, KH",SW,9:15,2,SINGING TO EACH OTHER
EUST,36.53275,-87.35667,3/22/2021,"SZ, KH",SW,9:20,14,FORAGING ON GROUND
EUST,36.53330556,-87.35639,3/22/2021,"SZ, KH",SW,9:25,1,
NOMO,36.53330556,-87.35639,3/22/2021,"SZ, KH",SW,9:30,1,
NOMO,36.53397222,-87.35611,3/22/2021,"SZ, KH",SW,9:35,1,
NOMO,36.53313889,-87.35611,3/22/2021,"SZ, KH",SW,9:40,1,
EUST,36.53347222,-87.35611,3/22/2021,"SZ, KH",SW,9:45,1,
NOMO,36.53433333,-87.35611,3/22/2021,"SZ, KH",SW,9:50,2,MAKING BUZZ SOUNDS
EUST,36.53433333,-87.35611,3/22/2021,"SZ, KH",SW,9:55,9,FORAGING ON GROUND
NOMO,36.53486111,-87.35583,3/22/2021,"SZ, KH",SW,10:00,1,
NOMO,36.53477778,-87.35639,3/22/2021,"SZ, KH",SW,10:05,1,
EUST,36.53433333,-87.35778,3/22/2021,"SZ, KH",SW,10:10,1,
EUST,36.53372222,-87.35806,3/22/2021,"SZ, KH",SW,10:15,1,
EUST,36.53294444,-87.35861,3/22/2021,"SZ, KH",SW,10:20,1,
EUST,36.53294444,-87.35972,3/22/2021,"SZ, KH",SW,10:25,1,
NOMO,36.53261111,-87.35917,3/22/2021,"SZ, KH",SW,10:26,1,
HOSP,36.53261111,-87.35917,3/22/2021,"SZ, KH",SW,10:27,4,1 MALE;3 FEMALE
NOMO,36.53469444,-87.35778,3/22/2021,"SZ, KH",SW,10:27,1,
NOMO,36.53511111,-87.35778,3/22/2021,"SZ, KH",SW,10:28,1,
HOSP,36.53538889,-87.35861,3/22/2021,"SZ, KH",SW,10:30,1,
EUST,36.539905,-87.360749,3/24/2021,AC,NW,10:21,1,
NOMO,36.535209,-87.355838,3/24/2021,AC,NE,10:51,1,
NOMO,36.53727778,-87.35056,3/24/2021,AH,NE,8:58,1,ON POWER LINE
HOSP,36.53636111,-87.35611,3/24/2021,AH,NE,9:08,2,VENTS OF DUNN CENTER
HOSP,36.53658333,-87.35639,3/24/2021,AH,NE,9:11,1,
HOSP,36.53658333,-87.35722,3/24/2021,AH,NE,9:13,4,
EUST,36.53794444,-87.3575,3/24/2021,AH,NE,9:18,2,
EUST,36.53658333,-87.35778,3/24/2021,AH,NE,9:29,2,
NOMO,36.536,-87.35778,3/24/2021,AH,NE,9:32,1,
EUST,36.53616667,-87.35778,3/24/2021,AH,NE,9:34,2,
NOMO,36.53586111,-87.3575,3/24/2021,AH,NE,9:38,2,
HOSP,36.53263889,-87.35889,3/24/2021,AH,SW,9:44,1,
NOMO,36.53263889,-87.35917,3/24/2021,AH,SW,9:45,1,TREE BESIDE CASTLE HEIGHTS
NOMO,36.53238889,-87.35917,3/24/2021,AH,SW,9:48,3,FIGHTING ROBINS
EUST,36.53244444,-87.35917,3/24/2021,AH,SW,9:52,3,CALLING TO EACH OTHER
NOMO,36.53352778,-87.355,3/24/2021,AH,SE,10:09,2,IN TREE
HOSP,36.53427778,-87.35417,3/24/2021,AH,SE,10:12,3,IN TREE IN FRONT OF SUBWAY
HOSP,36.53463889,-87.35389,3/24/2021,AH,SE,10:15,1,IN GUTTER OF BLOUNT HALL
EUST,36.53879,-87.358143,3/24/2021,AZ,NW,9:37,7,ON LINE
EUST,36.537583,-87.358029,3/24/2021,AZ,NW,9:43,11,ON LINE
NOMO,36.537013,-87.359064,3/24/2021,AZ,NW,9:57,1,
NOMO,36.536133,-87.35952,3/24/2021,AZ,NW,10:05,1,IN GRASS
NOMO,36.535563,-87.359298,3/24/2021,AZ,NW,10:14,1,IN TREE
NOMO,36.533121,-87.350241,3/24/2021,SS,SE,8:12,2,CHASING
NOMO,36.533592,-87.351368,3/24/2021,SS,SE,8:21,3,GROUND FORAGING
HOSP,36.534202,-87.351432,3/24/2021,SS,SE,8:29,2,CALLING;FLIGHT PAIR
EUST,36.535559,-87.350712,3/24/2021,SS,NE,8:44,1,"JUVENILE, SILENT"
EUST,36.536078,-87.35139,3/24/2021,SS,NE,8:48,2,SINGING FLYOVER
NOMO,36.537157,-87.352944,3/24/2021,SS,NE,9:02,1,ALARM CALLING
NOMO,36.53202778,-87.35778,3/26/2021,DB,SW,10:15,1,SINGING IN TREE
NOMO,36.53416667,-87.3575,3/26/2021,DB,SW,10:30,1,
HOSP,36.53477778,-87.35083,3/26/2021,DB,SW,10:34,2,
NOMO,36.53202778,-87.35722,3/26/2021,DB,SW,10:42,1,
NOMO,36.53313889,-87.35694,3/26/2021,DB,SW,10:47,1,
EUST,36.535589,-87.352213,3/26/2021,JK,NE,10:35,1,
EUST,36.536175,-87.351965,3/26/2021,JK,NE,10:36,1,
HOSP,36.537213,-87.352434,3/26/2021,JK,NE,10:38,1,HEARD
NOMO,36.53759,-87.352597,3/26/2021,JK,NE,10:40,2,FIGHTING
EUST,36.5378,-87.352723,3/26/2021,JK,NE,10:42,2,FORAGING IN GRASS
NOMO,36.537991,-87.352868,3/26/2021,JK,NE,10:48,1,
EUST,36.537999,-87.35323,3/26/2021,JK,NE,10:50,1,FORAGING
NOMO,36.537609,-87.354178,3/26/2021,JK,NE,10:54,1,HEARD MOCKING CALLS
NOMO,36.537536,-87.355213,3/26/2021,JK,NE,10:55,1,
NOMO,36.538623,-87.354656,3/26/2021,JK,NE,10:59,1,
EABL,36.538634,-87.355831,3/26/2021,JK,NE,11:00,1,FEMALE
HOSP,36.538349,-87.357115,3/26/2021,JK,NE,11:05,2,MALE;FEMALE;FORAGING NEAR NEST BOX
EUST,36.537569,-87.357444,3/26/2021,JK,NE,11:07,3,
NOMO,36.536919,-87.357696,3/26/2021,JK,NE,11:09,1,
HOSP,36.536596,-87.357179,3/26/2021,JK,NE,11:12,2,
NOMO,36.535894,-87.357706,3/26/2021,JK,NE,11:17,1,
HOSP,36.535251,-87.355155,3/26/2021,JK,NE,11:23,2,
EUST,36.535566,-87.353044,3/26/2021,JK,NE,11:37,4,
NOMO,36.532247,-87.358517,3/26/2021,JK,SW,11:41,1,MAKING 8 DIFFERENT CALLS
HOSP,36.533176,-87.358757,3/26/2021,JK,SW,11:43,4,3 MALES;1 FEMALE
HOSP,36.533301,-87.358075,3/26/2021,JK,SW,11:45,2,
NOMO,36.533572,-87.357706,3/26/2021,JK,SW,11:50,1,
NOMO,36.533964,-87.357636,3/26/2021,JK,SW,11:57,1,
NOMO,36.533313,-87.356129,3/26/2021,JK,SW,12:00,1,PERCHED MAKING MOCKING CALLS IN TREE
NOMO,36.532128,-87.357387,3/26/2021,JK,SW,12:05,1,
NOMO,36.531854,-87.357086,3/26/2021,JK,SW,12:10,1,MOCKING CALLS FROM TREE
HOSP,36.53572222,-87.35333,3/28/2021,DB,NE,9:37,1,SINGING IN BUSH
EUST,36.53788889,-87.35722,3/28/2021,DB,NE,9:58,2,FORAGING ON GROUND
EUST,36.53663889,-87.35722,3/28/2021,DB,NE,10:04,2,
EABL,36.53358333,-87.35667,3/28/2021,DB,NE,10:13,3,
HOSP,36.53369444,-87.35417,3/28/2021,DB,NE,10:27,1,
HOSP,36.541,-87.35917,3/30/2021,DB,NW,13:30,2,ONE IN TREE; ONE ON GROUND
NOMO,36.53663889,-87.36,3/30/2021,DB,NW,13:52,1,SINGING IN BUSH
HOSP,36.533337,-87.358879,3/31/2021,AC,SW,9:08,2,
NOMO,36.534668,-87.356984,3/31/2021,AC,SW,9:37,1,
EUST,36.531626,-87.355586,3/31/2021,AC,SW,10:06,6,
EUST,36.539476,-87.362032,3/31/2021,AH,NW,10:11,1,SITTING ON LIMB
NOMO,36.534181,-87.358655,3/31/2021,AZ,SW,9:32,1,IN TREE
EUST,36.5337,-87.358151,3/31/2021,AZ,SW,9:40,5,ON POST
EUST,36.533488,-87.357702,3/31/2021,AZ,SW,9:51,10,ON LINE
EUST,36.533204,-87.356815,3/31/2021,AZ,SW,10:02,2,ON SIGN
EUST,36.532742,-87.356578,3/31/2021,AZ,SW,10:09,1,ON GRASS
EUST,36.533139,-87.35611,3/31/2021,AZ,SW,10:15,3,
EUST,36.533755,-87.354702,3/31/2021,DB,SE,9:30,4,2 ON POWERLINE;2 ARE ON GROUND
EUST,36.532471,-87.350456,3/31/2021,"JB, NS",SE,8:46,1,ON TOP OF SUNDQUIST
NOMO,36.53235,-87.351066,3/31/2021,"JB, NS",SE,8:46,1,ON TOP OF BUILDING
HOSP,36.533871,-87.35482,3/31/2021,"JB, NS",SE,9:02,1,IN GUTTER
EUST,36.53495,-87.35535,3/31/2021,"JB, NS",SE,9:08,1,
EABL,36.535046,-87.352873,3/31/2021,"JB, NS",SE,9:13,1,ON POST
NOMO,36.534369,-87.35318,3/31/2021,"JB, NS",SE,9:17,1,SINGING FROM TREE
EUST,36.533626,-87.353545,3/31/2021,"JB, NS",SE,9:23,10,FLYOVER
NOMO,36.533908,-87.352407,3/31/2021,"JB, NS",SE,9:27,1,SINGING FROM TREE
EUST,36.533781,-87.350475,3/31/2021,"JB, NS",SE,9:33,1,FLYING AWAY
NOMO,36.533299,-87.350964,3/31/2021,"JB, NS",SE,9:35,1,SINGING;FLYING
NOMO,36.53272222,-87.35611,3/31/2021,"JS,HL,TY",SW,9:32,3,FORAGING ON GROUND
EUST,36.53277778,-87.35694,3/31/2021,"JS,HL,TY",SW,9:36,4,FORAGING ON GROUND
EUST,36.53344444,-87.35722,3/31/2021,"JS,HL,TY",SW,9:50,1,
EUST,36.53313889,-87.35722,3/31/2021,"JS,HL,TY",SW,9:51,1,
NOMO,36.53322222,-87.35889,3/31/2021,"JS,HL,TY",SW,9:56,1,
EUST,36.53311111,-87.35972,3/31/2021,"JS,HL,TY",SW,9:58,2,FLYOVER
EUST,36.53275,-87.35972,3/31/2021,"JS,HL,TY",SW,10:05,4,FLYOVER
NOMO,36.53308333,-87.35778,3/31/2021,"JS,HL,TY",SW,10:40,1,
NOMO,36.532605,-87.351658,3/31/2021,SS,SE,9:03,2,CHASING
NOMO,36.533425,-87.35323,3/31/2021,SS,SE,9:17,4,SINGING;FEEDING
EUST,36.533713,-87.354527,3/31/2021,SS,SE,9:31,2,CALLING
NOMO,36.533181,-87.356851,3/31/2021,SS,SW,9:38,3,FLYOVER
EUST,36.533695,-87.357679,3/31/2021,SS,SW,9:43,1,SILENT
HOSP,36.534108,-87.350837,4/5/2021,"JK,JA",SE,18:00,1,MALE
HOSP,36.534673,-87.351636,4/5/2021,"JK,JA",SE,18:05,1,MALE;SINGING
HOSP,36.534417,-87.35258,4/5/2021,"JK,JA",SE,18:10,1,MALE
NOMO,36.534872,-87.353957,4/5/2021,"JK,JA",SE,18:15,1,MALE SINGING
HOSP,36.534714,-87.353871,4/5/2021,"JK,JA",SE,18:20,4,MALE AND FEMALES SINGING
EUST,36.535028,-87.354859,4/5/2021,"JK,JA",SE,18:25,6,CALLING
HOSP,36.534828,-87.354963,4/5/2021,"JK,JA",SE,18:30,8,FORAGING ON GROUND
EUST,36.534504,-87.354292,4/5/2021,"JK,JA",SE,18:35,10,FLYBY
HOSP,36.533783,-87.354956,4/5/2021,"JK,JA",SE,18:40,2,CALLING
NOMO,36.533871,-87.353977,4/5/2021,"JK,JA",SE,18:45,1,
HOSP,36.533864,-87.353544,4/5/2021,"JK,JA",SE,18:50,2,DUST BATHING;2 MALES
EABL,36.533733,-87.353229,4/5/2021,"JK,JA",SE,18:55,2,MALE;FEMALE;FORAGING NEAR NEST BOX
EUST,36.533234,-87.352981,4/5/2021,"JK,JA",SE,19:00,3,SINGING
NOMO,36.532545,-87.35118,4/5/2021,"JK,JA",SE,19:05,1,MOBBING CROW
NOMO,36.531574,-87.354046,4/5/2021,KH,SE,8:08,1,
NOMO,36.531578,-87.354413,4/5/2021,KH,SE,8:15,1,
NOMO,36.533799,-87.355065,4/5/2021,KH,SE,8:17,1,
EUST,36.533928,-87.355737,4/5/2021,KH,SE,8:20,15,
NOMO,36.534683,-87.35534,4/5/2021,KH,SE,8:26,2,
NOMO,36.534892,-87.355049,4/5/2021,KH,SE,8:30,1,
EUST,36.534961,-87.355364,4/5/2021,KH,SE,8:31,1,
NOMO,36.534496,-87.354283,4/5/2021,KH,SE,8:40,1,
HOSP,36.534513,-87.354011,4/5/2021,KH,SE,8:46,6,
HOSP,36.534645,-87.353832,4/5/2021,KH,SE,8:55,1,
NOMO,36.533247,-87.352986,4/5/2021,KH,SE,9:10,1,
HOSP,36.533235,-87.353552,4/5/2021,KH,SE,9:15,1,
NOMO,36.533598,-87.353345,4/5/2021,KH,SE,9:21,1,
EABL,36.533529,-87.354833,4/6/2021,AC,SE,9:14,1,
HOSP,36.533909,-87.355505,4/6/2021,AC,SE,9:36,2,
EUST,36.539163,-87.361416,4/7/2021,AC,NW,13:36,5,
HOSP,36.53903,-87.356045,4/8/2021,AZ,SW,9:40,1,ON GROUND
NOMO,36.534798,-87.355902,4/8/2021,AZ,SW,9:46,1,IN TREE
EUST,36.534681,-87.35703,4/8/2021,AZ,SW,9:52,5,
EUST,36.533949,-87.357002,4/8/2021,AZ,SW,10:00,1,
EUST,36.533216,-87.35716,4/8/2021,AZ,SW,10:07,1,
NOMO,36.532569,-87.357756,4/8/2021,AZ,SW,10:18,1,IN BUSH
NOMO,36.534404,-87.357979,4/8/2021,DB,SW,10:45,1,FEMALE;SITTING ON POWERLINE
NOMO,36.533308,-87.356657,4/8/2021,DB,SW,11:08,1,FEMALE;SITTING ON PWER GENERATOR
NOMO,36.533608,-87.357637,4/8/2021,DB,SW,11:16,1,FEMALE;SITTING ON TREE
NOMO,36.5346,-87.357115,4/8/2021,DB,SW,11:25,2,FEMALES
EUST,36.534649,-87.35588,4/8/2021,JK,SW,11:30,4,FORAGING
EUST,36.53273,-87.356556,4/8/2021,JK,SW,11:45,10,FLYOVER
EUST,36.532503,-87.358995,4/8/2021,JK,SW,11:50,5,IN TREES
EUST,36.533631,-87.357415,4/8/2021,JK,SW,12:00,1,
HOSP,36.533793,-87.356549,4/8/2021,JK,SW,12:20,1,
EUST,36.536092,-87.351536,4/8/2021,SS,NE,10:52,2,
NOMO,36.535598,-87.353428,4/8/2021,SS,NE,11:06,1,
NOMO,36.537196,-87.352474,4/8/2021,SS,NE,11:14,1,
NOMO,36.538404,-87.353252,4/8/2021,SS,NE,11:26,3,CHASING EACH OTHER
EUST,36.538405,-87.355256,4/8/2021,SS,NE,11:34,3,2 SINGING IN TREE; 1 ON GROUND
EUST,36.5351,-87.356252,4/8/2021,SS,NE,11:42,1,"JUVENILE, SILENT"
EUST,36.533815,-87.352833,4/11/2021,DB,SE,9:50,3,ON MOWED LAWN PECKING AT GROUND
NOMO,36.53341,-87.353305,4/11/2021,DB,SE,9:51,1,CALLING IN TREE
NOMO,36.534659,-87.354687,4/11/2021,DB,SE,10:20,1,CALLING IN TREE
HOSP,36.534193,-87.354501,4/11/2021,DB,SE,10:23,2,WALKING ON MOWED LAWN
NOMO,36.533893,-87.354358,4/11/2021,DB,SE,10:26,1,
HOSP,36.53349,-87.353641,4/11/2021,DB,SE,10:28,1,
HOSP,36.534663,-87.35523,4/13/2021,AH,SE,8:38,2,SITTING ON LEDGE OF SEIVER HALL
NOMO,36.534484,-87.354298,4/13/2021,AH,SE,8:40,2,BY THE DUMPSTERS
HOSP,36.534168,-87.354857,4/13/2021,AH,SE,8:43,2,ON GUTTER
NOMO,36.533488,-87.353858,4/13/2021,AH,SE,8:47,2,FIGHTING IN FRONT OF ME
EABL,36.533897,-87.353072,4/13/2021,AH,SE,8:50,1,IN BIRDBOX
EUST,36.533035,-87.353051,4/13/2021,AH,SE,9:05,1,ON STATUE
NOMO,36.534473,-87.354069,4/13/2021,AH,SE,9:50,1,BEING DRAMATIC IN A TREE
EUST,36.536313,-87.352012,4/13/2021,"JA,JK",NE,14:45,7,
HOSP,36.537014,-87.352022,4/13/2021,"JA,JK",NE,14:49,1,
NOMO,36.537469,-87.352523,4/13/2021,"JA,JK",NE,14:51,3,
HOSP,36.53717,-87.353138,4/13/2021,"JA,JK",NE,14:53,2,
HOSP,36.53743,-87.353137,4/13/2021,"JA,JK",NE,14:57,1,
NOMO,36.537911,-87.353105,4/13/2021,"JA,JK",NE,14:58,1,
HOSP,36.538162,-87.353164,4/13/2021,"JA,JK",NE,14:59,2,
HOSP,36.538339,-87.353155,4/13/2021,"JA,JK",NE,15:00,3,SITTING AT TOP OF PINE TREE
EABL,36.538767,-87.356969,4/13/2021,"JA,JK",NE,15:07,1,HOPPING ON ROAD
NOMO,36.538681,-87.356407,4/13/2021,"JA,JK",NE,15:09,1,EATING ON ROAD
EABL,36.538473,-87.356958,4/13/2021,"JA,JK",NE,15:13,1,
EUST,36.538473,-87.356893,4/13/2021,"JA,JK",NE,15:15,1,
EUST,36.536235,-87.355869,4/13/2021,"JA,JK",NE,15:21,1,
HOSP,36.536342,-87.356162,4/13/2021,"JA,JK",NE,15:21,1,SITTING ON GROUND
NOMO,36.536495,-87.355933,4/13/2021,"JA,JK",NE,15:21,1,SITTING IN TREE
EUST,36.536275,-87.355689,4/13/2021,"JA,JK",NE,15:23,4,FLYOVER
NOMO,36.535976,-87.356354,4/13/2021,"JA,JK",NE,15:24,1,FEMALE; STICK IN IT'S MOUTH
HOSP,36.535767,-87.35671,4/13/2021,"JA,JK",NE,15:26,1,FLEW INTO BIRD BOX
EUST,36.53591,-87.355854,4/13/2021,"JA,JK",NE,15:28,2,FLEW INTO TREE
HOSP,36.535976,-87.355708,4/13/2021,"JA,JK",NE,15:30,1,SITTING IN TREE
EUST,36.535403,-87.350825,4/13/2021,"JA,JK",NE,15:40,2,SITTING ON POWERLINE
NOMO,36.533448,-87.350418,4/14/2021,HL,SE,11:51,1,
EUST,36.533603,-87.352836,4/14/2021,HL,SE,12:01,2,FORAGING IN MOWED AREA
NOMO,36.534083,-87.353316,4/14/2021,HL,SE,12:04,1,PERCHED ON ROOF 
NOMO,36.533764,-87.353316,4/14/2021,HL,SE,12:22,1,PERCHED IN BARE TREE;MIMICKING BIRDS CONSTANTLY
HOSP,36.541104,-87.360247,4/15/2021,AC,NW,9:36,2,
NOMO,36.535447,-87.354048,4/15/2021,AH,NE,8:34,1,SITTING ON BENCH
NOMO,36.532523,-87.35875,4/15/2021,AH,SW,9:30,1,ON THE GROUND
EUST,36.532953,-87.359052,4/15/2021,AH,SW,9:31,1,
NOMO,36.533253,-87.359182,4/15/2021,AH,SW,9:35,1,FIGHTING A ROBIN
NOMO,36.533972,-87.356513,4/15/2021,AH,SW,9:52,1,TRYING TO FIGHT A CROW
EUST,36.534312,-87.358405,4/15/2021,AH,SW,10:00,1,ON POWERLINE
NOMO,36.534962,-87.357454,4/15/2021,AH,NE,10:01,1,IN A TREE
NOMO,36.534932,-87.358024,4/15/2021,AH,SW,10:04,2,ON TREE
HOSP,36.535039,-87.358066,4/15/2021,AH,SW,10:05,1,ON GROUND
EUST,36.537065,-87.357351,4/15/2021,AH,NE,10:09,1,TOWER BEHIND DUNN CENTER
HOSP,36.53665,-87.357108,4/15/2021,AH,NE,10:14,1,ON LIGHT POLE
NOMO,36.536962,-87.355837,4/15/2021,AH,NE,10:19,1,ON COOLING UNIT
NOMO,36.537749,-87.355497,4/15/2021,AH,NE,10:19,1,ON SIDEWALK
NOMO,36.536624,-87.354561,4/15/2021,AH,NE,10:20,1,IN PARKING LOT
EUST,36.531672,-87.356877,4/15/2021,"NS,JB",SW,9:23,1,FLYING OVERHEAD
NOMO,36.532059,-87.357512,4/15/2021,"NS,JB",SW,9:25,1,PERCHED IN BUSH
EUST,36.532382,-87.359877,4/15/2021,"NS,JB",SW,9:30,1,PERCHED;SINGING
NOMO,36.533185,-87.360153,4/15/2021,"NS,JB",SW,9:35,1,FORAGING ON GROUND
HOSP,36.534061,-87.358994,4/15/2021,"NS,JB",SW,9:46,1,FLYOVER
EUST,36.534206,-87.360385,4/15/2021,"NS,JB",SW,9:47,9,PERCHED ON WIRE
HOSP,36.533993,-87.359037,4/15/2021,"NS,JB",SW,9:50,1,FORAGING IN PARKING LOT
EUST,36.535013,-87.359404,4/15/2021,"NS,JB",SW,9:54,1,ON GROUND
HOSP,36.535417,-87.358243,4/15/2021,"NS,JB",SW,10:01,1,SINGIN IN TREE
EUST,36.534827,-87.35611,4/15/2021,"NS,JB",SW,10:07,1,FORAGING ON GROUND
NOMO,36.53451,-87.355937,4/15/2021,"NS,JB",SW,10:10,1,FORAGING
EABL,36.538982,-87.361253,4/15/2021,SS,NW,15:25,1,
NOMO,36.539744,-87.362696,4/15/2021,SS,NW,15:33,1,CARRYING NESTING MATERIAL
NOMO,36.541395,-87.359877,4/15/2021,SS,NW,15:51,1,GROUND FORAGING
EUST,36.539807,-87.360058,4/15/2021,SS,NW,15:59,5,
NOMO,36.540221,-87.36012,4/15/2021,SS,NW,16:00,1,SINGING IN TREE
NOMO,36.535222,-87.355741,4/18/2021,AC,NE,12:46,1,
NOMO,36.53296,-87.350219,4/19/2021,SS,SE,12:04,1,FORAGING/NEST BUILDING
NOMO,36.533436,-87.351655,4/19/2021,SS,SE,12:10,2,GROUND FORAGING
NOMO,36.533465,-87.353237,4/19/2021,SS,SE,12:16,1,SILENT IN EVERGREEN
NOMO,36.534139,-87.355535,4/19/2021,SS,SE,12:22,1,GROUND FORAGING
EUST,36.534081,-87.357344,4/19/2021,SS,SW,12:25,3,SINGING ON LIGHT POSTS
NOMO,36.533477,-87.351954,4/20/2021,"KH,HL",SE,9:06,1,IN TREE
NOMO,36.533074,-87.352629,4/20/2021,"KH,HL",SE,9:09,2,IN TREE AND ON GROUND
EUST,36.533069,-87.352765,4/20/2021,"KH,HL",SE,9:10,1,FORAGING IN GRASS
NOMO,36.533091,-87.352657,4/20/2021,"KH,HL",SE,9:14,1,SCREAMING IN TREE
HOSP,36.532777,-87.35521,4/20/2021,"KH,HL",SE,9:28,1,RUNNING ON SIDEWALK
HOSP,36.533886,-87.354059,4/20/2021,"KH,HL",SE,9:41,1,IN TREE
NOMO,36.533695,-87.354161,4/20/2021,"KH,HL",SE,9:41,1,IN TRASH
HOSP,36.534927,-87.353918,4/20/2021,"KH,HL",SE,9:48,2,IN TREE
HOSP,36.534853,-87.353832,4/20/2021,"KH,HL",SE,9:48,1,ON BUILDING
HOSP,36.534801,-87.354305,4/20/2021,"KH,HL",SE,9:54,1,ON BUILDING
NOMO,36.534899,-87.354305,4/20/2021,"KH,HL",SE,9:54,2,ON SIDEWALK
HOSP,36.534899,-87.354362,4/20/2021,"KH,HL",SE,9:58,1,IN TREE
NOMO,36.535141,-87.354119,4/20/2021,"KH,HL",SE,10:00,1,ON ROOF
NOMO,36.534796,-87.352735,4/20/2021,"KH,HL",SE,10:05,1,ON BENCH
NOMO,36.534675,-87.351896,4/20/2021,"KH,HL",SE,10:10,1,IN TREE
NOMO,36.53358,-87.351918,4/20/2021,"KH,HL",SE,10:20,1,FORAGING
NOMO,36.533729,-87.357622,4/21/2021,"DB,JK",SW,12:14,1,FEMALE;SINGING ON TREE
NOMO,36.534222,-87.357967,4/21/2021,"DB,JK",SW,12:18,1,SITTING ON POWERLINE
EUST,36.53404,-87.3576,4/21/2021,"DB,JK",SW,12:22,1,
EUST,36.534186,-87.356908,4/21/2021,"DB,JK",SW,12:27,3,FLYOVER
NOMO,36.532966,-87.356391,4/21/2021,"DB,JK",SW,12:29,1,FORAGING ON GROUND
NOMO,36.532175,-87.357237,4/21/2021,"DB,JK",SW,12:33,2,STANDING ON SIDEWALK
HOSP,36.532119,-87.357744,4/21/2021,"DB,JK",SW,12:35,2,
EUST,36.531939,-87.356578,4/21/2021,"DB,JK",SW,12:42,7,
NOMO,36.533758,-87.357636,4/21/2021,"DB,JK",SW,12:42,1,
EUST,36.532466,-87.358913,4/21/2021,"DB,JK",SW,12:45,1,
NOMO,36.531672,-87.359871,4/21/2021,"DB,JK",SW,12:57,2,FEMALES;FORAGING ON GROUND
NOMO,36.531603,-87.356905,4/21/2021,"JA,NS",SW,11:37,1,FORAGING
NOMO,36.531987,-87.357063,4/21/2021,"JA,NS",SW,11:40,1,CHASING A ROBIN
EUST,36.532063,-87.357419,4/21/2021,"JA,NS",SW,11:43,3,FLEW ACROSS ROAD
EUST,36.532682,-87.359269,4/21/2021,"JA,NS",SW,11:50,1,PERCHED IN TREE
NOMO,36.532653,-87.359029,4/21/2021,"JA,NS",SW,11:50,2,PAIR IN  BUSH
EUST,36.534436,-87.357888,4/21/2021,"JA,NS",SW,12:00,2,
EUST,36.535204,-87.358081,4/21/2021,"JA,NS",SW,12:00,1,
HOSP,36.53493,-87.358533,4/21/2021,"JA,NS",SW,12:00,2,CHASING OFF CROW
NOMO,36.534817,-87.358191,4/21/2021,"JA,NS",SW,12:00,4,ONE CHASING ROBIN
HOSP,36.535393,-87.358425,4/21/2021,"JA,NS",SW,12:05,4,ON AND AROUND BUILDING
EUST,36.535136,-87.359322,4/21/2021,"JA,NS",SW,12:10,1,FORAGING IN YARD
HOSP,36.535278,-87.358936,4/21/2021,"JA,NS",SW,12:10,2,
NOMO,36.535183,-87.359153,4/21/2021,"JA,NS",SW,12:10,1,
EUST,36.534526,-87.357066,4/21/2021,"JA,NS",SW,12:22,11,FORAGING IN SOCCER FIELD
EUST,36.53901,-87.3617,4/21/2021,JM,NW,1:10,3,PERCHED IN TREE
NOMO,36.539512,-87.360689,4/21/2021,JM,NW,1:35,2,FLEW IN FRONT IN PARKING LOT
NOMO,36.537091,-87.351967,4/21/2021,JM,NE,1:45,1,
NOMO,36.535302,-87.350436,4/21/2021,JM,NE,2:00,2,
EUST,36.538681,-87.355807,4/22/2021,AH,NE,9:30,2,
HOSP,36.538486,-87.356553,4/22/2021,AH,NE,9:35,1,
EUST,36.537991,-87.357022,4/22/2021,AH,NE,9:38,1,
HOSP,36.537429,-87.357034,4/22/2021,AH,NE,9:43,1,
NOMO,36.536572,-87.35756,4/22/2021,AH,NE,9:48,1,
HOSP,36.53599,-87.357673,4/22/2021,AH,NE,9:56,4,
HOSP,36.535039,-87.358066,4/22/2021,AH,SW,10:00,4,IN TREES BETWEEN APARTMENTS
HOSP,36.532624,-87.359505,4/22/2021,AH,SW,10:14,2,ON POWERLINE
NOMO,36.532616,-87.358709,4/22/2021,AH,SW,10:17,1,ON THE GROUND
NOMO,36.532561,-87.358177,4/22/2021,AH,SW,10:22,1,ON RAIL
NOMO,36.531985,-87.357255,4/22/2021,AH,SW,10:24,2,FIGHTING
NOMO,36.53284,-87.356872,4/22/2021,AH,SW,10:27,1,ON BENCH
EUST,36.532532,-87.357143,4/22/2021,AH,SW,10:30,3,ON TOP OF BUILDING
NOMO,36.533055,-87.354662,4/22/2021,AH,SE,10:38,1,ON HUC
HOSP,36.534311,-87.354764,4/22/2021,AH,SE,10:43,3,ON SUBWAY
NOMO,36.534198,-87.354312,4/22/2021,AH,SE,10:44,1,IN BUSH
HOSP,36.534037,-87.354089,4/22/2021,AH,SE,10:46,1,ON BUILDING
